tag,minTRx
CWECN10TEST535,639
CWECN10TEST536,943
CWECN10TEST537,1159
CWECN10TEST538,519
CWECN10TEST539,788
CWECN10TEST54,891
CWECN10TEST540,1121
CWECN10TEST541,882
CWECN10TEST542,697
CWECN10TEST543,724
CWECN10TEST544,850
CWECN10TEST545,908
CWECN10TEST546,961
CWECN10TEST547,868
CWECN10TEST548,993
CWECN10TEST549,750
CWECN10TEST55,868
CWECN10TEST550,685
CWECN10TEST551,533
CWECN10TEST552,1014
CWECN10TEST553,573
CWECN10TEST554,591
CWECN10TEST555,1014
CWECN10TEST556,967
CWECN10TEST557,528
CWECN10TEST558,793
CWECN10TEST559,1082
CWECN10TEST56,741
CWECN10TEST560,740
CWECN10TEST561,863
CWECN10TEST562,779
CWECN10TEST563,753
CWECN10TEST564,904
CWECN10TEST565,958
CWECN10TEST566,920
CWECN10TEST567,753
CWECN10TEST568,830
CWECN10TEST569,844
CWECN10TEST57,781
CWECN10TEST570,1001
CWECN10TEST571,868
CWECN10TEST572,1041
CWECN10TEST573,813
CWECN10TEST574,600
CWECN10TEST575,720
CWECN10TEST576,536
CWECN10TEST577,739
CWECN10TEST578,710
CWECN10TEST579,822
CWECN10TEST58,874
CWECN10TEST580,1065
CWECN10TEST581,1117
CWECN10TEST582,1061
CWECN10TEST583,526
CWECN10TEST584,1087
CWECN10TEST585,795
CWECN10TEST586,1015
CWECN10TEST587,563
CWECN10TEST588,1173
CWECN10TEST589,897
CWECN10TEST59,814
CWECN10TEST590,465
CWECN10TEST591,840
CWECN10TEST592,828
CWECN10TEST593,1025
CWECN10TEST594,1049
CWECN10TEST595,908
CWECN10TEST596,1012
CWECN10TEST597,800
CWECN10TEST598,1050
CWECN10TEST599,948
CWECN10TEST6,953
CWECN10TEST60,852
CWECN10TEST600,783
CWECN10TEST601,904
CWECN10TEST602,974
CWECN10TEST603,514
CWECN10TEST604,761
CWECN10TEST605,868
CWECN10TEST606,969
CWECN10TEST607,889
CWECN10TEST608,747
CWECN10TEST609,1104
CWECN10TEST61,802
CWECN10TEST610,536
CWECN10TEST611,931
CWECN10TEST612,1089
CWECN10TEST613,692
CWECN10TEST614,761
CWECN10TEST615,730
CWECN10TEST616,810
CWECN10TEST617,1059
CWECN10TEST618,858
CWECN10TEST619,736
CWECN10TEST62,927
CWECN10TEST620,1097
CWECN10TEST621,642
CWECN10TEST622,643
CWECN10TEST623,886
CWECN10TEST624,1106
CWECN10TEST625,785
CWECN10TEST626,828
CWECN10TEST627,731
CWECN10TEST628,524
CWECN10TEST629,1078
CWECN10TEST63,880
CWECN10TEST630,847
CWECN10TEST631,1113
CWECN10TEST632,1111
CWECN10TEST633,1056
CWECN10TEST634,992
CWECN10TEST635,814
CWECN10TEST636,1004
CWECN10TEST637,799
CWECN10TEST638,812
CWECN10TEST639,1156
CWECN10TEST64,853
CWECN10TEST640,1134
CWECN10TEST641,969
CWECN10TEST642,914
CWECN10TEST643,1132
CWECN10TEST644,559
CWECN10TEST645,913
CWECN10TEST646,537
CWECN10TEST647,701
CWECN10TEST648,1028
CWECN10TEST649,506
CWECN10TEST65,913
CWECN10TEST650,962
CWECN10TEST651,785
CWECN10TEST652,780
CWECN10TEST653,574
CWECN10TEST654,989
CWECN10TEST655,1006
CWECN10TEST656,864
CWECN10TEST657,919
CWECN10TEST658,677
CWECN10TEST659,1143
CWECN10TEST66,888
CWECN10TEST660,1123
CWECN10TEST661,1150
CWECN10TEST662,949
CWECN10TEST663,991
CWECN10TEST664,733
CWECN10TEST665,1134
CWECN10TEST666,1135
CWECN10TEST667,736
CWECN10TEST668,482
CWECN10TEST669,912
CWECN10TEST67,881
CWECN10TEST670,1053
CWECN10TEST671,620
CWECN10TEST672,916
CWECN10TEST673,941
CWECN10TEST674,905
CWECN10TEST675,645
CWECN10TEST676,696
CWECN10TEST677,621
CWECN10TEST678,875
CWECN10TEST679,1138
CWECN10TEST68,904
CWECN10TEST680,759
CWECN10TEST681,1028
CWECN10TEST682,613
CWECN10TEST683,508
CWECN10TEST684,1088
CWECN10TEST685,1025
CWECN10TEST686,893
CWECN10TEST687,1149
CWECN10TEST688,624
CWECN10TEST689,791
CWECN10TEST69,827
CWECN10TEST690,1026
CWECN10TEST691,1027
CWECN10TEST692,1148
CWECN10TEST693,1056
CWECN10TEST694,813
CWECN10TEST695,965
CWECN10TEST696,684
CWECN10TEST697,768
CWECN10TEST698,1118
CWECN10TEST699,1116
CWECN10TEST7,946
CWECN10TEST70,950
CWECN10TEST700,687
CWECN10TEST701,934
CWECN10TEST702,1198
CWECN10TEST703,917
CWECN10TEST704,1012
CWECN10TEST705,836
CWECN10TEST706,655
CWECN10TEST707,754
CWECN10TEST708,407
CWECN10TEST709,806
CWECN10TEST71,889
CWECN10TEST710,732
CWECN10TEST711,723
CWECN10TEST712,862
CWECN10TEST713,563
CWECN10TEST714,795
CWECN10TEST715,895
CWECN10TEST716,883
CWECN10TEST717,956
CWECN10TEST718,440
CWECN10TEST719,942
CWECN10TEST72,638
CWECN10TEST720,819
CWECN10TEST721,643
CWECN10TEST722,744
CWECN10TEST723,1097
CWECN10TEST724,636
CWECN10TEST725,953
CWECN10TEST726,884
CWECN10TEST727,439
CWECN10TEST728,982
CWECN10TEST729,997
CWECN10TEST73,813
CWECN10TEST730,756
CWECN10TEST731,972
CWECN10TEST732,932
CWECN10TEST733,727
CWECN10TEST734,1142
CWECN10TEST735,548
CWECN10TEST736,1011
CWECN10TEST737,804
CWECN10TEST738,441
CWECN10TEST739,972
CWECN10TEST74,722
CWECN10TEST740,843
CWECN10TEST741,722
CWECN10TEST742,583
CWECN10TEST743,445
CWECN10TEST744,913
CWECN10TEST745,655
CWECN10TEST746,721
CWECN10TEST747,806
CWECN10TEST748,713
CWECN10TEST749,1012
CWECN10TEST75,887
CWECN10TEST750,868
CWECN10TEST751,829
CWECN10TEST752,1137
CWECN10TEST753,1124
CWECN10TEST754,1007
CWECN10TEST755,638
CWECN10TEST756,910
CWECN10TEST757,1005
CWECN10TEST758,532
CWECN10TEST759,1012
CWECN10TEST76,1012
CWECN10TEST760,966
CWECN10TEST761,1037
CWECN10TEST762,740
CWECN10TEST763,1019
CWECN10TEST764,663
CWECN10TEST765,922
CWECN10TEST766,924
CWECN10TEST767,908
CWECN10TEST768,595
CWECN10TEST769,728
CWECN10TEST77,881
CWECN10TEST770,723
CWECN10TEST771,855
CWECN10TEST772,854
CWECN10TEST773,643
CWECN10TEST774,1010
CWECN10TEST775,996
CWECN10TEST776,956
CWECN10TEST777,796
CWECN10TEST778,731
CWECN10TEST779,1027
CWECN10TEST78,817
CWECN10TEST780,950
CWECN10TEST781,980
CWECN10TEST782,674
CWECN10TEST783,737
CWECN10TEST784,978
CWECN10TEST785,754
CWECN10TEST786,904
CWECN10TEST787,894
CWECN10TEST788,730
CWECN10TEST789,505
CWECN10TEST79,1011
CWECN10TEST790,452
CWECN10TEST791,469
CWECN10TEST792,896
CWECN10TEST793,1051
CWECN10TEST794,657
CWECN10TEST795,579
CWECN10TEST796,729
CWECN10TEST797,646
CWECN10TEST798,827
CWECN10TEST799,973
CWECN10TEST8,947
CWECN10TEST80,868
CWECN10TEST800,944
CWECN10TEST801,988
CWECN10TEST802,539
CWECN10TEST803,915
CWECN10TEST804,506
CWECN10TEST805,537
CWECN10TEST806,810
CWECN10TEST807,939
CWECN10TEST808,813
CWECN10TEST809,852
CWECN10TEST81,974
CWECN10TEST810,990
CWECN10TEST811,550
CWECN10TEST812,736
CWECN10TEST813,781
CWECN10TEST814,895
CWECN10TEST815,740
CWECN10TEST816,648
CWECN10TEST817,959
CWECN10TEST818,968
CWECN10TEST819,938
CWECN10TEST82,793
CWECN10TEST820,500
CWECN10TEST821,987
CWECN10TEST822,752
CWECN10TEST823,794
CWECN10TEST824,931
CWECN10TEST825,619
CWECN10TEST826,855
CWECN10TEST827,565
CWECN10TEST828,776
CWECN10TEST829,949
CWECN10TEST83,948
CWECN10TEST830,900
CWECN10TEST831,1038
CWECN10TEST832,822
CWECN10TEST833,520
CWECN10TEST834,551
CWECN10TEST835,870
CWECN10TEST836,787
CWECN10TEST837,926
CWECN10TEST838,520
CWECN10TEST839,1194
CWECN10TEST84,950
CWECN10TEST840,585
CWECN10TEST841,976
CWECN10TEST842,742
CWECN10TEST843,914
CWECN10TEST844,522
CWECN10TEST845,697
CWECN10TEST846,653
CWECN10TEST847,787
CWECN10TEST848,728
CWECN10TEST849,894
CWECN10TEST85,889
CWECN10TEST850,928
CWECN10TEST851,999
CWECN10TEST852,549
CWECN10TEST853,909
CWECN10TEST854,982
CWECN10TEST855,897
CWECN10TEST856,943
CWECN10TEST857,908
CWECN10TEST858,714
CWECN10TEST859,514
CWECN10TEST86,816
CWECN10TEST860,553
CWECN10TEST861,1042
CWECN10TEST862,534
CWECN10TEST863,540
CWECN10TEST864,868
CWECN10TEST865,708
CWECN10TEST866,623
CWECN10TEST867,1038
CWECN10TEST868,876
CWECN10TEST869,874
CWECN10TEST87,894
CWECN10TEST870,527
CWECN10TEST871,721
CWECN10TEST872,982
CWECN10TEST873,643
CWECN10TEST874,549
CWECN10TEST875,703
CWECN10TEST876,935
CWECN10TEST877,802
CWECN10TEST878,526
CWECN10TEST879,582
CWECN10TEST88,853
CWECN10TEST880,874
CWECN10TEST881,951
CWECN10TEST882,948
CWECN10TEST883,961
CWECN10TEST884,879
CWECN10TEST885,514
CWECN10TEST886,954
CWECN10TEST887,947
CWECN10TEST888,951
CWECN10TEST889,903
CWECN10TEST89,645
CWECN10TEST890,901
CWECN10TEST891,913
CWECN10TEST892,722
CWECN10TEST893,521
CWECN10TEST894,939
CWECN10TEST895,1164
CWECN10TEST896,795
CWECN10TEST897,1071
CWECN10TEST898,1023
CWECN10TEST899,731
CWECN10TEST9,813
CWECN10TEST90,908
CWECN10TEST900,529
CWECN10TEST901,720
CWECN10TEST902,874
CWECN10TEST903,777
CWECN10TEST904,646
CWECN10TEST905,637
CWECN10TEST906,776
CWECN10TEST907,982
CWECN10TEST908,662
CWECN10TEST909,931
CWECN10TEST91,1001
CWECN10TEST910,916
CWECN10TEST911,874
CWECN10TEST912,612
CWECN10TEST913,987
CWECN10TEST914,959
CWECN10TEST915,920
CWECN10TEST916,508
CWECN10TEST917,548
CWECN10TEST918,770
CWECN10TEST919,891
CWECN10TEST92,877
CWECN10TEST920,534
CWECN10TEST921,847
CWECN10TEST922,879
CWECN10TEST923,1072
CWECN10TEST924,948
CWECN10TEST925,642
CWECN10TEST926,959
CWECN10TEST927,905
CWECN10TEST928,716
CWECN10TEST929,830
